author_list,journal:string,publish_count
Ignacio E. Grossmann,Comput. Chem. Eng.,153
Mike Thelwall,J. Assoc. Inf. Sci. Technol.,88
Loet Leydesdorff,J. Assoc. Inf. Sci. Technol.,83
Efstratios N. Pistikopoulos,Comput. Chem. Eng.,71
Rafiqul Gani,Comput. Chem. Eng.,68
Lutz Bornmann,J. Assoc. Inf. Sci. Technol.,57
Hsinchun Chen,Decis. Support Syst.,49
H. Raghav Rao,Decis. Support Syst.,33
Selwyn Piramuthu,Decis. Support Syst.,31
Aaron D. Ames,IEEE Control. Syst. Lett.,26
William B. Rouse,Inf. Knowl. Syst. Manag.,22
Manuel Castro,Rev. Iberoam. de Tecnol. del Aprendiz.,22
Andrew P. Sage,Inf. Knowl. Syst. Manag.,21
Max Mulder,IEEE Trans. Hum. Mach. Syst.,19
Marinus Maria van Paassen,IEEE Trans. Hum. Mach. Syst.,15
Majid Zamani 0001,IEEE Control. Syst. Lett.,14
Jacquelien M. A. Scherpen,IEEE Control. Syst. Lett.,13
Nong Ye,Inf. Knowl. Syst. Manag.,13
Fan R. K. Chung,Internet Math.,13
Pawel Pralat,Internet Math.,12
Martín Llamas Nistal,Rev. Iberoam. de Tecnol. del Aprendiz.,12
Anthony Bonato,Internet Math.,11
Xabiel G. Pañeda,Rev. Iberoam. de Tecnol. del Aprendiz.,10
Eitan Altman,Dyn. Games Appl.,10
Angela Carrillo Ramos,Int. J. Web Inf. Syst.,9
Hiroyuki Kitagawa,Int. J. Web Inf. Syst.,9
Toshiyuki Amagasa,Int. J. Web Inf. Syst.,9
Mark Broom,Dyn. Games Appl.,9
Ellen J. Bass,IEEE Trans. Hum. Mach. Syst.,8
Xiaohui Tao,Web Intell.,7
Jan Rychtár,Dyn. Games Appl.,7
Jan Treur,Web Intell. Agent Syst.,7
Li Liu 0001,Web Intell.,6
Domenico Ursino,Web Intell. Agent Syst.,5
Tibor Bosse,Web Intell. Agent Syst.,5
Xiaoyong Li 0002,Big Data Res.,4
Yuefeng Li,Web Intell.,4
Junqiang Song,Big Data Res.,3
Kaijun Ren,Big Data Res.,3
